text,label
"But 15 states have voted now, and you have won only four of them.",E
"You have lost repeatedly with what is supposed to be your core voter groups, including evangelicals and conservatives.",E
"Last week, in fact, on Tuesday, I was a half a million votes higher than him.",E
"I was a million votes higher than Marco, 1 million votes.",E
"If voters want Jeff Sessions-style immigration policies, isn't their choice rather clear?",Others
"But time and time again in this campaign, you have actually told the voters one thing only to reverse yourself within weeks or even sometimes days.",Others
"But isn't that part of the problem in this race, that three others on this stage are splitting the main stream Republican vote and there by possibly handing this nomination over to an anti-establishment candidate?",E
Today also Mitt Romney proposed that Republicans should vote for Senator Rubio in Florida.,Others
They should vote for you in Ohio.,Others
They should vote for Senator Cruz in states that he can beat Mr. Trump to prevent Mr. Trump from getting the nomination.,Others
"Given your record in Wisconsin, why should voters believe you?",Others
"Three years in a row now, you have voted against the Defense Authorization Act.",V
You've also said that Senator Cruz's vote to curtail the NSA surveillance program made America less safe.,V
"Does that mean that if a liberal state, let's say, wants to make abortion legal, that you're okay with that and what do you say to conservative voters who believe deeply that abortion is murder?",Others
"Well, you have to understand, I am not sitting in the United States Senate with, by the way, the worst voting record there is today.",V
"That's because he got Ben Carson's votes, by the way, but we won't .",Others
I'm not going to vote for Ted Cruz.,Others
"Here's a guy -- here's a guy that buys a house for $179,000, he sells it to a lobbyist who's probably here for $380,000 and then legislation is passed.",Others
"And -- and here's the thing -- it was sort of funny -- 65 percent of the people don't like you -- I just got 36 percent of the vote, right?",E
"And it scared the hell out of people, and it said the only way you clear up the violation, essentially, is to go and vote for Ted Cruz.",Others
"Some of these people, frankly, have never voted before -- 50 years old, 60 years old, 70 years old -- never voted before.",Others
"I have about a 1.6 million votes during this primary season, more votes than Ted.",E
"I oppose the Iranian deal, and will vote against it.",V
"Now, I'm going to vote against the agreement because I don't think there's significant leverage, but it doesn't mean that I would immediately not look at the agreement, and cut it up without looking to see if whether or not Iran has complied.",V
"In 2011, the sequester was passed as a reform to slow down the rate of government.",O
"I think what's interesting about where that liberty vote goes that my father brought to the Republican Party is, I don't think they're necessarily going to go for Ted.",Others
"Ted said he was for NSA reform, but then he told Marco Rubio, no, no, no, I voted for the bill because I'm for the government collecting 100 percent of your cell phone records.",V
We think we're going to do very well in Iowa with the liberty vote.,Others
"If all the people who say, ""I love Ben Carson and his policies, but he can't win,"" vote for me, not only can we win, but we can turn this thing around.",Others
What I have advocated is that we pass law in this country that says all human life at every stage of its development is worthy of protection.,Others
"And I'll tell you, I can't wait to stand on that debate stage with Hillary Clinton and to make abundantly clear if you vote for Hillary, you are voting for the Ayatollah Khomeini to possess a nuclear weapon and if you elect me as president, under no circumstances will a theocratic ayatollah who chants death to America ever be allowed to acquire a nuclear weapon.",Others
"Back in 2004, one of my predecessors to the Senate by the name of Bob Graham, a Democrat, ran for president missing over 30 percent of his votes.",E
"Later that year, in 2004, John Kerry ran for president missing close to 60 to 70 percent of his votes.",E
"In 2008, Barack Obama missed 60 or 70 percent of his votes, and the same newspaper endorsed him again.",E
I don't remember you ever complaining about John McCain's vote record.,Others
"I want to thank Rand for another 30 seconds, because, number one, what he's pointing to is a bill last week that -- amendment that he voted for that only 10 people voted for.",V
"Three times he voted against the Defense Authorization Act, which is a bill that funds the troops.",V
"I saw you on the Senate floor flip your vote on crop insurance because they told you it would help you in Iowa, and last week, we all saw you flip your vote on ethanol in Iowa for the same reason.",V
"Every single time that there has been a Defense bill in the Senate, three people team up to vote against it.",V
"In fact, the only budget you have ever voted for, Ted, in your entire time in the Senate is a budget from Rand Paul that brags about how it cuts defense.",V
"Well, again, I mean, obviously, as already has been pointed out, the only budget that Ted has ever voted for is a budget that Rand Paul sponsored that brags about cutting defense spending.",V
"As far as the polls are concerned, Iowa, on Monday night you're going to go to a caucus site and you'll be the first Americans that vote in this election.",Others
That's why we have a president that passed Obamacare and the stimulus.,O
We can't get that legislation passed.,O
A historic number of people came out and voted in those caucuses.,Others
We passed the V.A.,O
"You vote for me, and we will unite this party, we will grow the conservative movement, we will defeat Hillary Clinton, and we will leave our children what our parents left us.",Others
"So it was a difficult decision to make and when we only had a few days to look at and make a decision on it and I voted against Barack Obama's plan to use force, and it was the right decision.",V
That's why I'm running for president and that's why I'm here today to ask you for your vote.,Others
When they passed Obamacare they put a bailout fund in Obamacare.,O
Two-thirds of the people who have cast a vote in a Republican primary or caucus have voted against you.,E
"The future of the United States and the most important election in a generation, and he's trying to con people into giving them their vote just like he conned these people into giving him their money.",Others
"One of the things I'm proudest of is that in my time in the U.S. Senate working with Jeff Miller here from Florida in a bipartisan way, and I'll give him credit -- Bernie Sanders was a part of this -- we passed a V.A.",O
There are laws they want to us pass that would be devastating for our economy or these programs like what the president has put in with the Clean Power Act or all these sorts of things that he's forcing down our throats on the war on coal.,Others
The VA Accountability Act that I passed I did it on a -- on a bipartisan basis.,O
"And I'm telling you tonight, if you vote for me, here in Florida and everywhere across this country on Tuesday, when I'm elected president, this generation will do it's part.",Others
"Don't vote for me if you want to keep the gridlock in Washington, D.C.",Others
The first vote hasn't been counted.,Others
"If I was a Puerto Rican, I'd vote for statehood so that they have full citizenship.",Others
In 2007 it almost passed when my brother was president of the United States.,Others
"I tried to get the Senate to vote to pass Kate's law on the floor of the Senate just one week ago, and the leader of our own party blocked a vote on Kate's law.",O
"I will veto any budget that doesn't fund Planned Parenthood, and Republicans surrender.",Others
"But I will say this: The natural next question that primary voters are asking, after we focus on illegal immigration is, okay, what are the records of the various candidates?",Others
"Yes, it is true that I voted against the National Defense Authorization Act, because when I campaigned in Texas I told voters in Texas that I would oppose the federal government having the authority to detain U.S. citizens permanently with no due process.",V
"Dana, what I said in private is exactly what I'll say here, which is that the judgment that every voter is making of every one of us up here is who has the experience, who has the vision, who has the judgment to be commander in chief.",Others
"First, we should pass the Expatriate Terrorist Act, legislation I've introduced that says if an American goes and joins ISIS and wages jihad against America, that you forfeit your citizenship and you can not come in on a passport.",Others
And I would note the Senate just a few weeks ago voted to suspend refugees from Middle Eastern countries.,V
I voted yes to suspend that.,V
"And by the way, the attack he keeps throwing out on the military budget, Marco knows full well I voted for his amendment to increase military spending to $697 billion.",V
"I'm glad he has produced enormous enthusiasm, and, every Donald Trump voter or potential voter, I hope to earn your support.",Others
It didn't have the votes to pass.,O
"Chris, the most important determination any voter is going to make in this election is who's best prepared to be Commander in Chief.",Others
"I believe if this amendment were to pass, the chances of this bill passing into law would increase dramatically.",Others
"And he did so because taking citizenship off the table was important, and it revealed the hypocrisy of the proponents of this bill, who were looking for votes.",Others
"And if you want to know who's telling the truth, you should look and ask people like Jeff Sessions and Steve King and Rush Limbaugh and Mark Levin, all of whom say, as Jeff Sessions said, responding to these false attacks just recently in Alabama -- he said, ""if it wasn't for Ted Cruz, the Gang of Eight Rubio/Schumer bill would have passed"".",O
"Well, you know, David, the assessment the voters are making here in New Hampshire and across the country is they are evaluating each and every one of us.",Others
"And the primary voters are making the assessment for each of us, who is best prepared to keep this country safe, to rebuild the military, to rebuild our Navy, our Air Force, our Army, our Marines, and to ensure that we keep America safe.",Others
"The governor of the state said vote for anyone but Cruz, and lobbyists spent millions of dollars in attack ads, but I stood and said we should have no mandates, a level playing field, and the people of Iowa put country and our children above the cronyism and corporate welfare...",Others
"But as voters, we've been burned over and over again by people that give us a great campaign speech and they don't walk the walk.",Others
The Rubio-Schumer amnesty plan passed the Senate and it was on the verge of passing the House.,O
"Then you should look to Jeff Sessions, who said, without Ted Cruz the Rubio-Schumer amnesty bill would have passed, and Ted was responsible.",O
"And, I'll tell you, as I travel the state, Democrats tell me I didn't vote for you, but you're doing what you said you would do.",Others
"That makes sense in the media, but I gotta tell you, one of the things I was most proud of when I ran for Senate here in Texas, I earned 40 percent of the hispanic vote here in Texas.",E
"At the same time, Mitt Romney was getting clobbered with 27 percent of the hispanic vote nationwide.",E
John Kerry -- Senator Rubio voted to confirm John Kerry as secretary of State.,V
The choice Republican primary voters are making is who is best prepared to stand up to Hillary Clinton and beat Hillary Clinton.,Others
He passed tax reform and regulatory reform.,O
I'm glad that Congress passed sanctions on North Korea.,O
The Democrats support illegal immigration because they view those illegal immigrants as potential voters and far too many of the Republicans are doing the bidding of Wall Street and the special interest and they view it as cheap labor.,Others
"Bad by those in the Senate who voted for it and if I'm president, we'll make our intelligence community strong, and won't have to keep everybody out, we're just going to keep the bad folk out and make sure they don't harm us.",V
"I am the man who can bring us together to do that, and I ask for your vote.",Others
"They didn't pass a tax increase, because I vetoed it and they never closed the government because they knew I would fight for what I believed in.",O
He said his bill couldn't pass on the gang of eight.,O
"I'm proud to have rebuild my state after Hurricane Sandy, and I'm incredibly proud to be on this stage tonight with these men asking for your vote.",Others
"Well, the voters in Wisconsin elected me last year for the third time because they wanted someone who aimed high, not aimed low.",E
"Forget about the 60-vote rule, there's no reason and the Constitution doesn't call for 60 votes.",Others
"Pass it with 51 votes, put it on the desk of the president",Others
"And I'm still one who says that we can get rid of the Internal Revenue Service if we would pass the fair tax, which is a tax on consumption rather than a tax on people's income, and move power back where the founders believed it should have been all along.",Others
"I've heard a lot of hot rhetoric here tonight, but I've got to tell you, as somebody that actually passed a budget; that paid down a half-a-trillion dollars of our national debt, you can't do it alone.",O
"And I will tell you, as a former Congressman, and an executive, in Ohio, I can promise you that I believe you'll get the votes to pass that, and we can move on with that issue and protect our border.",Others
"And I'll tell you, I love these blue-collar Democrats, because they're going to vote for us come next fall, promise you that.",Others
And I hope I can have your vote in South Carolina.,Others
I received 55 percent of the vote.,E
Jeb Bush received 30 percent of the vote.,E
"But ask the people -- my friends in Illinois and of course, my beloved Buckeyes to consider me on Tuesday and, please, let me have your vote.",Others
"It will take an extremely arduous vote in Congress, followed by two-thirds of the states, and if that doesn't work to amend the Constitution, then it is a long, arduous process in court.",Others
"Governor Bush, in addition to the fact that he's an outsider, one of the reasons Mr. Trump is a frontrunner, Republican voters say, is because they like the fact that he is not bought and paid for by wealthy donors.",Others
But I am here to fight for somebody who is a county clerk elected under the Kentucky constitution that 75 percent of the people of that state had voted for that said that marriage was between a man and a woman.,E
"Let's begin with jobs and the economy, which Republican voters say is the most important issue to them in this election.",Others
Donald Trump has so far won 35 percent of the vote.,E
"As part of its attempt to cut costs, the Republican-controlled House of Representatives just voted to try to reduce spending in the post-9/11 GI Bill.",V
"Governor Bush, let's talk about the issue that's very important to Republican voters, and that's the Supreme Court.",Others
"After Chief Justice John Roberts voted to uphold Obamacare twice, Senator Cruz criticized your brother for appointing John Roberts to the Supreme Court.",V
"Governor Chafee, you were the only Republican in the Senate to vote against the Iraq war.",V
You say Secretary Clinton should be disqualified from the presidency because she voted in favor of using force in Iraq.,V
"My question for you is, as a congressman, you voted against the Iraq War.",V
You voted against the Gulf War.,V
"You told a voter in New Hampshire to quote, ""Get over cuts to Social Security benefits"" because you have a reform plan and that is just the reality you say that is out there.",Others
"Governor O'Malley, the concern of voters about you is that you tout our record as Baltimore's mayor.",Others
"Senator Sanders, you voted against the Brady bill that mandated background checks and a waiting period.",V
"Governor O'Malley, you passed gun legislation as governor of Maryland, but you had a Democratic-controlled legislature.",O
"President Obama couldn't convince Congress to pass gun legislation after the massacres in Aurora, in Newtown, and Charleston.",O
"Secretary Clinton voted to authorize military force in Iraq, supported more troops in Afghanistan.",V
In 1999 you voted for the very bill that made banks bigger.,V
"Governor Chafee, you and Hillary Clinton both voted for the Patriot Act which created the NSA surveillance program.",V
"Secretary Clinton, do you regret your vote on the Patriot Act?",V
"Senator Senator Sanders, you're the only one on this stage who voted against the Patriot Act in 2001",V
"Senator Sanders, you are the only member of the Democratic caucus to vote against it.",V
"Now, the lawsuit may not go anywhere because of the bill you voted for - legislation that prevents gun makers from being sued.",V
"As a senator, I earned a reputation for courageous votes against the Bush-Cheney tax cuts the favored the wealthy, against the tragedy of the Iraq war, for environmental stewardship, for protection of our civil liberties.",V
"Yes, I have a good record of voting for gun commonsense safety legislation, but the reality is, despite these tragedies that happen time and time again, when legislators step up to pass commonsense gun safety legislation, the gun lobby moves in and tells the people they're coming to take away your guns.",V
"And, they're successful at it, in Colorado and others states, the legislators that vote for commonsense gun safety measures then get defeated.",V
"The Glass-Steagall was my very first vote, I'd just arrived, my dad had died in office, I was appointed to the office, it was my very first vote.",V
"I also wrote and passed the best piece of veterans education legislation in history, the Post 9/11 G.I.",O
"We passed comprehensive gun safety legislation, not by looking at the pollings or looking at what the polls said.",O
We passed a state version of the DREAM Act,O
"Secretary Clinton also said we it was not just the invasion of Iraq which Secretary Clinton voted for and has since said was a big mistake and, indeed, it was.",V
Not only were we the first state in the nation to pass a living wage.,O
We were the first to pass a minimum wage.,O
"In my own state, after the children in that Connecticut classroom were gunned down, we passed comprehensive gun safety legislation with background checks, ban on assault weapons, and Senator, I think we do need to repeal that immunity that you granted to the gun industry.",O
"Passed comprehensive gun safety legislation with a ban on combat assault weapons, David.",O
Senator Sanders voted against the Brady Bill.,V
And Senator Sanders voted against even research dollars to look into this public health issue.,V
But I did pass a more progressive income tax and asked the highest-earning people to pay another 14 percent.,O
I'm the one candidate on this stage that actually brought people together to pass comprehensive gun safety legislation.,O
We did pass in our state comprehensive gun safety legislation.,O
"Republicans win when there is a low voter turnout, and that is what happened last November.",Others
"Sixty-three percent of the American people didn't vote, Anderson.",E
Eighty percent of young people didn't vote.,E
"Let's begin, Anderson, by understanding that Bernie Sanders has a D-minus voting rating from the NRA.",V
"Well, obviously, I voted, when President Clinton said, let's stop ethnic cleansing in Kosovo, I voted for that.",V
I voted to make sure that Osama bin Laden was held accountable in Afghanistan.,V
"Jim and I, under Jim's leadership, as he indicated, passed the most significant veterans education bill in recent history.",O
I voted against that piece of legislation because it had guest-worker provisions in it which the Southern Poverty Law Center talked about being semi-slavery.,V
I was not the only progressive to vote against that legislation for that reason.,V
"Tom Harkin, a very good friend of Hillary Clinton's and mine, one of the leading labor advocates, also voted against that.",V
But point being is that progressives did vote against that for that reason.,V
"What we did is pass a $15 billion dollar piece of legislation which brought in many, many new doctors, and nurses into the V.A.",O
"What I mean is that we need to have one of the larger voter turnouts in the world, not one of the lowest.",Others
And I would vote yes because I am seeing in this country too many lives being destroyed for non-violent offenses.,V
"You vote against us, you are out of your job.",Others
"I think we have a disagreement, and the disagreement is that not only did I vote against the war in Iraq.",V
"And we will not, under this proposal, have a situation that we have right now with the Affordable Care Act where you have states like South Carolina, and many other Republican states, that because of their right wing political ideology, are denying millions of people the expansion of Medicaid that we passed in the Affordable Care Act.",O
