text,label
I could only get two Republican votes on that.,Others
"It wasn't the bill that I wanted, but yet it turned out to be one of the more significant pieces of veterans' legislation passed in recent history.",O
I voted against the war in Iraq because I thought unilateral military action would not produce the results that were necessary and would lead to the kind of unraveling and instability that we saw in the Middle East.,V
"Gun people said, there were three candidates in the race, you vote for one of the others, but not Bernie Sanders.",E
"Do not tell me that I have not shown courage in standing up to the gun people, in voting to ban assault weapons, voting for instant background checks, voting to end the gun show loop hole and now we're in a position to create a consensus in America on gun safety.",V
"And I also voted and helped lead the effort against the war in Iraq, which will go down in history as one of the worst foreign blunders foreign policy blunders in the history of our country.",V
"I voted against the first Gulf War, which set the stage, I believe, for the second Iraq war.",V
I voted against the war.,V
"I voted for it, but right now, what we have to deal with is the fact that 29 million people still have no health insurance.",V
"Not only did I vote against it, I helped lead the opposition.",V
"I just wanted to add, in the previous question, I voted against the USA Patriot Act for many of the reasons that Governor O'Malley mentioned.",V
"Not only did I vote against that war, I helped lead the opposition, and if you go to my website, berniesanders.com, you will see the statement that I made in 2002.",V
"I think, while it is true that the secretary and I voted differently on the war in Iraq, what is important is that we learn the lesson of the war in Iraq.",V
"And once again, back in 2002, when we both looked at the same evidence about the wisdom of the war in Iraq, one of us voted the right way and one of us didn't.",V
We ended up with 56 votes and I couldn't get the 60 votes that I needed.,Others
"Democrats win when there is a large voter turnout; when people are excited; when working people, middle class people and young people are prepared to engage in the political process.",Others
"I am very proud, if my memory is not correct -- I think I am -- that I have a lifetime -- and I've been in Congress a few years -- a lifetime 100 percent pro-choice voting record.",V
"In terms of 2007 immigration reform, yeah, I did vote against it.",V
"I voted against it because the Southern Poverty Law Center, among other groups, said that the guest-worker programs that were embedded in this agreement were akin to slavery.",V
"I voted for Dodd-Frank, got an important amendment in it.",V
I voted against the war in Iraq because I listened very carefully to what President Bush and Vice President Cheney had to say and I didn't believe them.,V
"Your story is for - voting for every disastrous trade agreement, and voting for corporate America.",V
Did I vote against the Wall Street bailout?,V
I have a D minus voting record from the NRA.,V
I lost that election by three votes.,E
"Now, if I have voted against that bill, Secretary Clinton would be here tonight and she'd say, ""Bernie Sanders voted against the ban on assault weapons"".",V
Bernie Sanders voted against the violence against women act.,V
"We passed NAFTA and other disastrous trade agreements which had a horrendous impact on African-Americans in particular, in Flint, in Detroit and all across this country.",O
I voted against those trade agreements.,V
And I voted against Wall Street deregulation.,V
I voted against the war in Iraq because I had a fear of what would happen the day after.,V
"It is a record of achievement for veterans, working with Republicans, helping to craft the most significant veterans healthcare bill passed in many decades.",O
We bailed out -- Secretary Clinton was one of those who voted to bail out Wall Street.,V
"The worst foreign policy blunder in the history of this country, voted for virtually every disastrous trade agreement which cost us millions of decent-paying jobs.",V
"We cannot continue to sustain the loss of millions of decent-paying jobs that we have seen over the last 20, 30 years, based on trade agreements of which Secretary Clinton has voted for almost every one of those.",V
"Now, I voted against this gun liability law because I was concerned that in rural areas all over this country, if a gun shop owner sells a weapon legally to somebody, and that person then goes out and kills somebody, I don't believe it is appropriate that that gun shop owner who just sold a legal weapon to be held accountable and be sued.",V
"Number one, yes, 100-0 in the Senate voted for democracy in Libya and I would vote for that again.",V
"You're looking at a senator and former congressman who proudly has a 100 percent pro-choice voting record, who will take on those Republican governors who are trying to restrict a woman's right to choose, who will take on those governors right now who are discriminating outrageously against the LGBT community, who comes from a state which led the effort for gay marriage in this country, proudly so.",V
And we are not going to win the White House based on just long-term Democratic votes.,Others
Senator Sanders did vote five times against the Brady bill.,V
"He also did vote, as he said, for this immunity provision.",V
The Republicans have voted to repeal it nearly 60 times.,V
"I you know, know that Senator Sanders had a different vote than I did when it came to giving immunity to gun makers and sellers.",V
I have voted not to give gun makers and sellers immunity.,V
"You joined the Senate in voting to get rid of Gadhafi, and you asked that there be a Security Council validation of that with a resolution.",V
"And there is only one person on this stage who voted to take away authority from the SEC and the Commodities Future Trading Commission that they could no longer regulate what are called swaps and derivatives, which actually contributed to the collapse of Lehman Brothers, and that was Senator Sanders.",V
"I think it's only fair to put on the record, Senator Sanders voted in the Senate for a resolution calling for ending the Gadhafi regime and asking that the U.N. be brought in, either a congressional vote or a U.N. Security Council vote.",V
"Yes look, I have made it clear based on Senator Sanders' own record that he has voted with the NRA, with the gun lobby numerous times.",V
He voted against the Brady Bill five times.,V
"He voted for what we call, the Charleston Loophole.",V
"He voted for immunity from gunmakers and sellers which the NRA said, ""was the most important piece of gun legislation in 20 years. """,V
"He voted to let guns go onto the Amtrak, guns go into National Parks.",V
"And even during the Affordable Care Act debate, there was an opportunity to vote for what was called the public option.",V
"And it's what I did as Secretary of State, on numerous occasions, and most particularly, rounding up two-thirds votes in order to pass a treaty that lowered the nuclear weapons in both Russia and the United States.",O
"Well, the last point on this is, Senator Sanders, you're the only one on this stage that voted to deregulate the financial market in 2000, to take the cops off the street, to use Governor O'Malley's phrase, to make the SEC and the Commodities Futures Trading Commission no longer able to regulate swaps and derivatives, which were one of the main cause of the collapse in '08.",V
"But if we're going to get into labels, I don't think it was particularly progressive to vote against the Brady Bill five times.",V
"Today, you've got hedge fund billionaires aligned with Karl Rove, running ads against me to try to get Democrats to vote for you.",Others
"But while we're talking about votes, you're the one who voted to deregulate swaps and derivatives in 2000, which contributed to the over-leveraging of Lehman Brothers, which was one of the culprits that brought down the economy.",V
"So I do think questions have been raised and questions have to be answered because when New Hampshire voters go on Tuesday to cast your vote, you are voting both for a president and a commander in chief.",Others
"And I voted a multinational trade agreement when I was senator, the CAFTA agreement, because I did not believe it was in the best interests of the workers of America, of our incomes, and I opposed it.",V
I voted for comprehensive immigration reform in 2007.,V
Senator Sanders voted against it at that time.,V
"He pushed through, and he passed the Dodd-Frank regulation, the toughest regulations since the 1930's.",O
"One, Senator Sanders voted in 1998 on what I think is fair to call a regime change resolution with respect to Iraq, calling for the end of Saddam Hussein's regime.",V
"He voted in favor of regime change with Libya, voted in favor of the Security Council being an active participate in setting the parameters for what we would do, which of course we followed through on.",V
"When people go to vote in primaries or caucuses, they are voting not only for the president, they are voting for the commander-in- chief.",Others
I voted to save the auto industry.,V
He voted against the money that ended up saving the auto industry.,V
"To set the record straight, I voted against the only multinational trade agreement that came before me when I was in the Senate.",V
"And when it came time to stand up to Wall Street, he passed and signed the toughest regulation since the Great Depression with the Dodd-Frank regulations.",O
"So that is an issue that Senator Sanders and I differ on, I voted against giving them immunity, but I think we should very seriously move to repeal that and go back to making sure gun makers and sellers are like any other business.",V
"Well, Don't, let me say this, Senator Sanders voted for that bill, we both supported it.",V
"The Congress finally got around to pass the Highway Transportation Bill, which should never have been partisan it turned into be one partisan argument.",O
"Well, let me start by saying that the last time I checked as of last night, Donald Trump had received 3.6 million votes, which is a good number.",E
"I was pleased that I got 100,000 more votes last night than my opponent and more delegates.",E
And we'll continue to work as hard as I can to earn the vote of every single voter.,Others
I voted for that bill.,V
"And in 2006, when Senator Sanders was running for the Senate from Vermont, he voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minute Men who were taking up outposts along the border to hunt down immigrants.",V
"When you got to the Senate in 2007, one of the first things you did was vote against Ted Kennedy's immigration reform which he'd been working on for years before you ever arrived.",V
A lot of the votes you make are hard votes.,Others
"Now, Senator Sanders voted against it.",V
That's his perfect right to vote against it.,Others
"Well, I think both of us, both Senator Sanders and I, voted numerous times to enhance border security along our border.",V
"We did vote for money to build a fence, a pedestrian fence in some place, a vehicle fence in other places.",V
"Well, the people of New York voted for me twice to be their senator from New York and...",E
"When I went to the secretary of state office, the president -- President Obama led the effort to pass the Dodd-Frank bill.",O
"I'm the only one on this stage who did not vote to deregulate swaps and derivatives, as Senator Sanders did, which led to a lot of the problems that we had with Lehman Brothers.",V
I'm not saying that Senator Sanders did something untoward when he voted to deregulate swaps and derivatives...,V
Senator Sanders voted against the Brady Bill five times.,V
"He voted for the most important NRA priority, namely giving immunity from liability to gun-makers and dealers, something that is at the root of a lot of the problems that we are facing.",V
"Voting -- he kept his word to the NRA, he voted against the Brady Bill five times because it had waiting periods in it.",V
"Well, I believe that the law that Senator Sanders voted for that I voted against, giving this special protection to gun manufacturers and to dealers, is an absolute abdication of responsibility on the part of those who voted for it.",V
"So I think that if all of us go and look back at where we were, Senator Sanders voted for the crime bill, and he says the same thing, there were some good things, and things that we have to change and learn from.",V
I don't take a back seat to your legislation that you've introduced that you haven't been able to get passed.,O
"I would just point out that there was a vote in the Senate as to whether or not the United States should support the efforts by the Libyan people to protect themselves against the threats, the genocidal threats coming from Gadhafi, and whether we should go to the United Nations to seek Security Council support.",V
"Senator sanders voted for that, and that's exactly what we did.",V
I've gotten more votes than anybody running.,E
"And so I think where we stand today is that we are in this campaign very confident and optimistic, but it all comes down to reaching every single voter.",Others
"Back in 1994, here's what you warned, we are dooming tens of millions of young people to a future of bitterness, mystery, hopelessness, drugs, crime, and violence, but you voted for the bill anyway.",V
"Senator Sanders, in 2013, you voted for immigration reform.",V
"But in 2007, when Democrats controlled Congress and the Bush White House was onboard, you voted against it.",V
Why should Latino voters trust you now when you left them at the altar at the moment when reform was very close?,Others
"Senator Paul, the budget deal crafted by Speaker Boehner and passed by the House today makes cuts in entitlement programs, Medicare and Social Security disability, which are the very programs conservatives say need cutting to shrink government and solve our country's long-term budget deficit.",O
"If you pay a million dollars, you should get a million votes.",Others
Tonight we're partnering with the Wall Street Journal to ask questions on the economy that voters want answered.,Others
"Governor Bush, Republican primary voters say tax reform should be a priority for Congress and the administration.",Others
"Senator Paul, you were one of 15 republicans to vote for an amendment which states that human activity contributed to climate change.",V
"You're saying Secretary Clinton, who was then Senator Clinton, voted for the Iraq war.",V
You say that Senator Sanders took a vote that on immunity that you don't like.,V
"Secretary Clinton, you told some Black Lives Matter activists recently that there's a difference between rhetoric in activism and what you were trying to do, was get laws passed that would help what they were pushing for.",Others
"You said he, referring to Senator Cruz, voted against the Defense Authorization Act every year that it came up, and I assume that if he voted against it, he would veto it as president.",V
"Immigration is a key issue in this state, for all voters nationwide, including the many people watching us on Telemundo.",Others
Governor Christie warning voters here in New Hampshire against voting for another first-term senator as America did with Barack Obama in 2008.,Others
"Congress has passed laws banning the use of waterboarding by the military and the CIA, as you know.",O
"In less than two months, voters in this state will go to the polls.",Others
"Senator Sanders, you voted to send U.S. ground forces to fight in the coalition to help destroy Al Qaida in Afghanistan.",V
Why is Senator Sanders beating you to 2 to 1 among younger votes?,Others
"Many Democratic voters are passionate about the need to do something to combat the threat of climate change, including the team of scientists from Youtube's MinuteEarth channel.",Others
"Senator Sanders, so just explain how you spent nearly two decades in Congress and haven't gotten any of these things passed.",O
"Obviously you've been emphasizing this difference on the Iraq war, but one place where you do agree, and one place where you voted to authorize the use of force, was in favor of the war in Afghanistan.",V
"Secretary Clinton, just like there are some Democrats that question Senator Sanders' ability in the general election, many Democratic voters that our reporters have been running into in Iowa and New Hampshire, they tell our reporters over and over again they're worried about the emails issue, not because they don't believe your explanation, but because it's a drip-drip, because the cloud is hanging over your head and that it will impact the general election.",Others
The reality is that we have one of lowest voter turnouts of any major country on earth because so many people have given up on the political process.,Others
"Senator, in December, one of your campaign staffers was fired from your campaign for taking voter data essentially from the Clinton campaign.",Others
You guys get to vote in just five days.,Others
"Senator Cruz, on the campaign trail you've promised voters a lot, in fact if you're elected president you'd say you end Common Core immediately, abolish the IRS, and do away with sanctuary cities.",Others
But in New Hampshire 55 percent of the women voters supported and voted for Senator Sanders.,E
"Secretary Clinton, I was talking recently with a 23 year old black woman who voted for President Obama because she said she thought relations between the races would get better under his leadership, and his example.",Others
"Mr. Trump, it is common knowledge that the Hispanic vote is very important in this race.",Others
"And, yes, you won the Hispanic vote in Nevada.",E
"How do you explain this very strong stance to the hundreds of thousands of Puerto Ricans that vote across the U.S. , and particularly in your state of Florida?",Others
"Now, Senator Sanders, in 2007, you voted against immigration reform.",V
"However, last November in New Hampshire, you openly said that as senator you voted numerous times to build the wall with Mexico.",V
"Talk about the importance of Hispanic votes, how in very close races it is the Hispanic vote that can choose the next president of the United States.",Others
No major environmental legislation has ever passed without bipartisan votes.,Others
"In the 2014 election, 80 percent of poor people did not vote.",E
I earned more votes in the state of Wisconsin than Donald Trump did in New York.,E
"In the history of Republican primaries, I've gotten the most votes in the history of the Republican party.",E
We've broken by millions the all-time record for votes in a GOP presidential primary election.,E
We got the highest vote count in the history of the Republican Party.,E
"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",E
Over 90 percent of Travis County's eligible residents have registered to vote.,E
Fourteen percent of all noncitizens in this country are registered to vote.,E
Report: 3 million votes in presidential election cast by illegal aliens.,E
"In addition to winning the Electoral College in a landslide, I won the popular vote if you deduct the millions of people who voted illegally.",E
He won the popular vote if you deduct the millions of people who voted illegally.,E
The majority of voters supported Democratic Senate candidates over Republican ones.,E
"In Wisconsin, 300,000 voters were turned away by the state's strict voter ID law in the 2016 presidential election.",E
"Wisconsin has only one county, Dane, that's hand counting the votes in the 2016 presidential recount.",E
Between 3 million and 5 million illegal votes caused him to lose the popular vote.,E
We ended up getting substantially more black vote than other candidates who had run in the past years.,E
Final election 2016 numbers: Trump won the popular vote.,E
"In the last presidential election, when Donald Trump won, we had the lowest voter turnout in 20 years.",E
"Voter turnout in 2016 was reduced by approx. 200,000 votes because of WI's photo ID laws.",E
"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the State House and 30% of the seats in the State Senate",E
"Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire's U.S. Senate Seat, and perhaps also New Hampshire's four electoral college votes in the presidential election.",E
"Since 2010, Republicans have won unaffiliated voters in every election",E
Less than half of Texans ages 18-24 are registered to vote.,E
"UPDATE: 'Thousands' voted for Doug Jones in Alabama town with population of 2,256",E
"Roy Moore takes the military vote, pulls ahead by 5,000 votes",E
Thirty percent of the people who voted for Donald Trump had voted for President Obama.,E
The Jerusalem Embassy Act passed Congress by an overwhelming bipartisan majority and was reaffirmed by a unanimous vote of the Senate only six months ago.,O
Ralph Northam cast the deciding vote in favor of sanctuary cities that let illegal immigrants who commit crimes back on the street.,V